obsolete_hs10,obsolete_desc_en,new_hs10,new_desc_en,same_code,mechanical_relation,mapping_type,source_file,checked_on
1211909090,"Plants and parts of plants,nes,for perfumery/pharm/insect/fung/sim,fr/chd/frz/dr",1211909090,"Plants and parts of plants,nes,for perfumery/pharm/insect/fung/sim,fr/chd/frz/dr",True,same code,split,conc-10-stats-2022.xlsx,2026-09-07
1509100011,"Olive oil, virgin, in container sizes of less than 18 kg, certified organic",1509200011,"Olive oil,extra virgin & fract,w/n ref'd,not chem mod, cnt < 18 kg, cert organic",False,same heading,split,conc-10-stats-2022.xlsx,2026-09-07
1509100012,"Olive oil, virgin, in container sizes of less than 18 kg, not certified organic",1509200012,"Olive oil,extra virgin & fract,w/n ref'd,not chem mod,cnt < 18 kg, not cert orgn",False,same heading,split,conc-10-stats-2022.xlsx,2026-09-07
1509100020,"Olive oil, virgin, in container sizes of 18 kg or more",1509200020,"Olive oil,extra virgin and fract, w/n refined, not chem mod, containers >= 18 kg",False,same heading,split,conc-10-stats-2022.xlsx,2026-09-07
1509100011,"Olive oil, virgin, in container sizes of less than 18 kg, certified organic",1509300011,"Olive oil,virgin and fractions,w/n refined,not chem mod,cnt < 18 kg,cert organic",False,same heading,split,conc-10-stats-2022.xlsx,2026-09-07
1509100012,"Olive oil, virgin, in container sizes of less than 18 kg, not certified organic",1509300012,"Olive oil, virgin and fract,w/n ref'd,not chem mod, cnt < 18 kg,not cert organic",False,same heading,split,conc-10-stats-2022.xlsx,2026-09-07
1509100020,"Olive oil, virgin, in container sizes of 18 kg or more",1509300020,"Olive oil,virgin and fractions,w/n ref'd,not chem mod,containers capacity >=18kg",False,same heading,split,conc-10-stats-2022.xlsx,2026-09-07
1509100011,"Olive oil, virgin, in container sizes of less than 18 kg, certified organic",1509400000,"Olive oil, virgin and its fractions,nes,w/n refined, but not chemically modified",False,same heading,many to many,conc-10-stats-2022.xlsx,2026-09-07
1509100012,"Olive oil, virgin, in container sizes of less than 18 kg, not certified organic",1509400000,"Olive oil, virgin and its fractions,nes,w/n refined, but not chemically modified",False,same heading,many to many,conc-10-stats-2022.xlsx,2026-09-07
1509100020,"Olive oil, virgin, in container sizes of 18 kg or more",1509400000,"Olive oil, virgin and its fractions,nes,w/n refined, but not chemically modified",False,same heading,many to many,conc-10-stats-2022.xlsx,2026-09-07
1510000000,"Olive oil and its fract, nes, w/n ref'd, not chem mod,incl blends",1510100000,"Crude olive pomace oil & fract, obt from olives,w/n ref'd,n chem mod,incl blends",False,same heading,split,conc-10-stats-2022.xlsx,2026-09-07
1510000000,"Olive oil and its fract, nes, w/n ref'd, not chem mod,incl blends",1510900000,"Oils and their fract,obt from olives,w/n ref'd but not chem mod,incl blends, nes",False,same heading,split,conc-10-stats-2022.xlsx,2026-09-07
1515900090,"Fixed vegetable fats,oils,their fractions,nes,w/n refined,n chemically modified",1515600000,"Microbial fats and oils and their fractions,w/n refined, not chemically modified",False,same heading,split,conc-10-stats-2022.xlsx,2026-09-07
1515900090,"Fixed vegetable fats,oils,their fractions,nes,w/n refined,n chemically modified",1515900090,"Fixed vegetable fats & oils & their fractions,w/n refined,not chemically mod,nes",True,same code,split,conc-10-stats-2022.xlsx,2026-09-07
